N,MFlops
26,6700.99
38,9084.64
58,10367.5
86,11072.8
130,11736.6
195,11920.6
292,12639.3
438,12291.3
657,10987.3
985,7082.07
1478,11144.8
2217,11559.9
3325,5259.24
4988,5148.3
7482,7538.43
11223,5874.92
16834,7051.96
25251,7697.04
37877,3493.7
56815,5242.63
85223,5214.35
127834,3587.86
191751,3437.43
287627,3437.18
431440,3470.91
647160,3240.27
970740,3046.76
1456110,2551.85
2184164,2418.75
3276247,2110.44
4914370,1942.09
7371555,1849.4
11057332,1807.15
16585998,1801.3
24878998,1817.44
37318497,1807.76
55977745,1716.62
